id,access_token,name,house_num_street,ward,district,city,owner_id,alarm_rice_threshold,current_rice_amount,current_humidity,current_temperature,longitude,latitude,url_dashboard,have_buy_rice_request,tick_deliver,provider_id
1,FCtuVKJwxX,Hoàng Anh,497 Hòa Hảo,7,10,HCM,10,44,12,14,29,106.6570254,10.7601652,https://demo.thingsboard.io/dashboard/3c40e2a0-5302-11ef-9229-f3aa570680fb?publicId=98d22b10-585c-11ee-9d15-df6249c08ea6,FALSE,FALSE,9
2,ma3RYRGG3K,Thanh Xuân,123 Lê Lợi,Bến Thành,1,HCM,10,2,82,15,29,106.6996586,10.7722738,https://demo.thingsboard.io/dashboard/3c40e2a0-5302-11ef-9229-f3aa570680fb?publicId=98d22b10-585c-11ee-9d15-df6249c08ea6,FALSE,FALSE,9
3,ljyd4Z6Kf0,Nhật Minh,456 Nguyễn Trãi,8,5,HCM,10,8,33,13,30,106.668949,10.7551548,https://demo.thingsboard.io/dashboard/3c40e2a0-5302-11ef-9229-f3aa570680fb?publicId=98d22b10-585c-11ee-9d15-df6249c08ea6,FALSE,FALSE,9
4,uRLu4Ljs2p,Bảo Châu,789 Trần Hưng Đạo,1,5,HCM,10,79,88,14,29,106.6787724,10.7551637,https://demo.thingsboard.io/dashboard/3c40e2a0-5302-11ef-9229-f3aa570680fb?publicId=98d22b10-585c-11ee-9d15-df6249c08ea6,FALSE,FALSE,9
5,PPbUf0b3Tp,Đức Minh,101 Bùi Thị Xuân,Phạm Ngũ Lão,1,HCM,10,13,76,15,30,106.6861268,10.7683131,https://demo.thingsboard.io/dashboard/3c40e2a0-5302-11ef-9229-f3aa570680fb?publicId=98d22b10-585c-11ee-9d15-df6249c08ea6,FALSE,FALSE,9
6,2QHmHw9hxc,Thanh Tú,234 Nguyễn Văn Cừ,Nguyễn Cư Trinh,1,HCM,10,24,27,14,29,106.6792138,10.7652018,https://demo.thingsboard.io/dashboard/3c40e2a0-5302-11ef-9229-f3aa570680fb?publicId=98d22b10-585c-11ee-9d15-df6249c08ea6,FALSE,FALSE,9
7,tzfSnb7Oq1,Bảo Nam,567 Đinh Tiên Hoàng,Đa Kao,1,HCM,10,54,72,15,28,106.6762103,10.7826214,https://demo.thingsboard.io/dashboard/3c40e2a0-5302-11ef-9229-f3aa570680fb?publicId=98d22b10-585c-11ee-9d15-df6249c08ea6,FALSE,FALSE,9
8,oNxIyWtSrV,Hải Yến,890 Hai Bà Trưng,Tân Định,1,HCM,10,92,18,14,29,106.6841647,10.792363,https://demo.thingsboard.io/dashboard/3c40e2a0-5302-11ef-9229-f3aa570680fb?publicId=98d22b10-585c-11ee-9d15-df6249c08ea6,FALSE,FALSE,9
9,jLDoAX3XrN,Thùy Linh,345 Nguyễn Huệ,Bến Nghé,1,HCM,10,22,1,13,30,106.6983993,10.7762781,https://demo.thingsboard.io/dashboard/3c40e2a0-5302-11ef-9229-f3aa570680fb?publicId=98d22b10-585c-11ee-9d15-df6249c08ea6,FALSE,FALSE,9
10,OAWa1S9SME,Ngọc Hân,678 Lê Thánh Tôn,Bến Thành,1,HCM,10,15,36,14,29,106.6921635,10.7712956,https://demo.thingsboard.io/dashboard/3c40e2a0-5302-11ef-9229-f3aa570680fb?publicId=98d22b10-585c-11ee-9d15-df6249c08ea6,FALSE,FALSE,9
11,Qhn1Jyb2z3,Việt Anh,901 Võ Văn Kiệt,6,5,HCM,10,20,34,15,29,106.6705594,10.7495488,https://demo.thingsboard.io/dashboard/3c40e2a0-5302-11ef-9229-f3aa570680fb?publicId=98d22b10-585c-11ee-9d15-df6249c08ea6,FALSE,FALSE,9
12,jlFwH2Nh6q,Kim Ngân,112 Phan Đình Phùng,2,Phú Nhuận,HCM,10,26,10,12,29,106.6788461,10.794623,https://demo.thingsboard.io/dashboard/3c40e2a0-5302-11ef-9229-f3aa570680fb?publicId=98d22b10-585c-11ee-9d15-df6249c08ea6,FALSE,FALSE,9
13,YLidtVvT23,Quang Vinh,223 Phạm Ngũ Lão,Phạm Ngũ Lão,1,HCM,10,81,30,13,29,106.6901122,10.7682542,https://demo.thingsboard.io/dashboard/3c40e2a0-5302-11ef-9229-f3aa570680fb?publicId=98d22b10-585c-11ee-9d15-df6249c08ea6,FALSE,FALSE,9
14,4qvUpBpBPi,Khánh Linh,334 Võ Thị Sáu,Võ Thị Sáu,3,HCM,10,2,5,13,28,106.6794841,10.7780582,https://demo.thingsboard.io/dashboard/3c40e2a0-5302-11ef-9229-f3aa570680fb?publicId=98d22b10-585c-11ee-9d15-df6249c08ea6,FALSE,FALSE,9
15,tKPHW7uSVZ,Hữu Nghĩa,445 Lý Tự Trọng,Bến Thành,1,HCM,10,21,62,13,29,106.691137,10.7714668,https://demo.thingsboard.io/dashboard/3c40e2a0-5302-11ef-9229-f3aa570680fb?publicId=98d22b10-585c-11ee-9d15-df6249c08ea6,FALSE,FALSE,9
16,m6629q0uHR,Anh Dũng,556 Nguyễn Thị Minh Khai,Nguyễn Cư Trinh,1,HCM,10,77,44,14,29,106.6771297,10.7660402,https://demo.thingsboard.io/dashboard/3c40e2a0-5302-11ef-9229-f3aa570680fb?publicId=98d22b10-585c-11ee-9d15-df6249c08ea6,FALSE,FALSE,9
17,YXtSkiguGr,Tú Anh,667 Cách Mạng Tháng 8,6,Tân Bình,HCM,10,95,10,15,28,106.6592337,10.7866957,https://demo.thingsboard.io/dashboard/3c40e2a0-5302-11ef-9229-f3aa570680fb?publicId=98d22b10-585c-11ee-9d15-df6249c08ea6,FALSE,FALSE,9
18,dmHeCPNQlT,Ngọc Anh,778 Điện Biên Phủ,11,3,HCM,10,39,6,12,28,106.6719577,10.7681836,https://demo.thingsboard.io/dashboard/3c40e2a0-5302-11ef-9229-f3aa570680fb?publicId=98d22b10-585c-11ee-9d15-df6249c08ea6,FALSE,FALSE,9
19,uj8ywbi4BI,Minh Khôi,123 Lạc Long Quân,3,11,HCM,10,55,24,14,29,106.6395857,10.7618762,https://demo.thingsboard.io/dashboard/3c40e2a0-5302-11ef-9229-f3aa570680fb?publicId=98d22b10-585c-11ee-9d15-df6249c08ea6,FALSE,FALSE,9
20,NNxlscnHey,Thu Thảo,456 Âu Cơ,10,Tân Bình,HCM,10,76,49,13,28,106.6402974,10.778954,https://demo.thingsboard.io/dashboard/3c40e2a0-5302-11ef-9229-f3aa570680fb?publicId=98d22b10-585c-11ee-9d15-df6249c08ea6,FALSE,FALSE,9
